A,Gender,Age,04/10/2019 15:11:22,"[['', 'Female', 29.0, '']]"
A,Gender,Age,04/10/2019 15:11:26,"[['', 'Female', 25.0, '']]"
A,Gender,Age,04/10/2019 15:11:31,"[['', 'Female', 28.0, '']]"
B,Gender,Age,04/10/2019 15:11:47,"[['', 'Female', 28.0, ''], ['', 'Male', 28.0, '']]"
B,Gender,Age,04/10/2019 15:11:51,"[['', 'Female', 28.0, ''], ['', 'Male', 28.0, '']]"
B,Gender,Age,04/10/2019 15:11:56,"[['', 'Female', 29.0, ''], ['', 'Male', 28.0, '']]"
A,Gender,Age,04/10/2019 15:12:02,"[['', 'Male', 28.0, '']]"
A,Gender,Age,04/10/2019 15:12:07,"[['', 'Male', 28.0, '']]"
A,Gender,Age,04/10/2019 15:12:12,"[['', 'Male', 28.0, '']]"
A,Gender,Age,04/10/2019 15:12:21,"[['', 'Male', 28.0, '']]"
A,Gender,Age,04/10/2019 15:12:26,"[['', 'Male', 27.0, '']]"
A,Gender,Age,04/10/2019 15:12:33,"[['', 'Female', 23.0, '']]"
A,Gender,Age,04/10/2019 15:12:42,"[['', 'Female', 27.0, '']]"
A,Gender,Age,04/10/2019 15:12:46,"[['', 'Female', 27.0, '']]"
A,Gender,Age,04/10/2019 15:26:23,"[['', 'Female', 39.0, '']]"
A,Gender,Age,04/10/2019 15:26:28,"[['', 'Female', 40.0, '']]"
A,Gender,Age,04/10/2019 15:26:58,"[['', 'Female', 40.0, '']]"
A,Gender,Age,04/10/2019 15:27:03,"[['', 'Female', 39.0, '']]"
A,Gender,Age,04/10/2019 15:27:12,"[['', 'Female', 40.0, '']]"
A,Gender,Age,04/10/2019 15:27:18,"[['', 'Female', 39.0, '']]"
A,Gender,Age,04/10/2019 15:27:33,"[['', 'Female', 34.0, '']]"
A,Gender,Age,04/10/2019 15:27:37,"[['', 'Female', 33.0, '']]"
A,Gender,Age,04/10/2019 15:27:43,"[['', 'Female', 37.0, '']]"
